Id,Name,DepartmentId,CategoryId,CategoryUniqueIdentifier,BrandId,BrandName,LinkId,RefId,IsVisible,Description,DescriptionShort,ReleaseDate,KeyWords,Title,IsActive,TaxCode,MetaTagDescription,SupplierId,ShowWithoutStock,AdWordsRemarketingCode,LomadeeCampaignCode,Score
,Ultraboost 22 Shoes - Cloud White,,,2-2-0,,Adidas,Ultraboost-22-shoes-P000007188,P000007188,true,Say hello to ultimate energy return. Lace up with hundreds of Boost capsules fused together and ready to explode with energy in each step.,,2021-10-01T00:00:00,"Adidas, Ultraboost, Shoes, Women",Ultraboost 22 Shoes - Cloud White,true,,Ultraboost 22 Shoes - Cloud White,,true,,,
,Converse Large Emblem High Top Canvas Sneakers - Black,,,2-2-0,,Converse,Converse-Large-Emblem-High-Top-Canvas-Sneakers-P000039567,P000039567,true,"One of the many diffusion brands of the Comme des Garçons empire, CDG Play is characterized by the iconic heart logo designed by Filip Pagowski. ",,2021-10-01T00:00:00,"Converse, Garcon, Shoes, Women",Converse Large Emblem High Top Canvas Sneakers - Black,true,,Converse Large Emblem High Top Canvas Sneakers - Black,,true,,,
,Nike Air Force 1 Shadow - White,,,2-2-0,,Nike,Nike-Air-Force-1-Shadow-P000150704,P000150704,true,Tamiami II lightweight shirt features anti-microbial properties to keep odor-free. Moisture wicking fabric offers sun protection & mesh-lined vents for airflow for breathable comfort. Deep pockets & a rod holder for hands free convenience. International Shipping Prohibited.,,2021-10-01T00:00:00,"Nike, Air, Force, Shoes, Women, Shadow",Nike Air Force 1 Shadow - White,true,,Nike Air Force 1 Shadow - White,,true,,,
,Checkerboard SK8-HI Tapered Shoes,,,2-2-0,,Vans,checkerboard-sk8-hi-tapered-shoes-P000154461,P000154461,true,"The Checkerboard Sk8-Hi Tapered, a deconstructed version of our legendary high top, features a more slender and fitted silhouette than the traditional Sk8-Hi.",,2021-10-01T00:00:00,"Checkered, SK8-HI, Shoes, Women, Vans",Checkerboard SK8-HI Tapered Shoes,true,,Checkerboard SK8-HI Tapered Shoes,,true,,,
,Stan Smith Shoes - Ambient Sky,,,2-2-0,,Adidas,Stan-Smith-Shoes-P000160927,P000160927,true,"A legend on the tennis court. A legend on city streets. And now, a champion for the future of the planet.",,2021-10-01T00:00:00,"Stan Smith, Adidas, Women, Shoes",Stan Smith Shoes - Ambient Sky,true,,Stan Smith Shoes - Ambient Sky,,true,,,
,Jadon Smooth Leather Platform Boots - Black,,,2-2-0,,Dr Martens,Jadon-Smooth-Leather-Platform-Boots-P000170879,P000170879,true,"A fierce evolution of our 8-eye boot, the Jadon retains all its original details — grooved edges, yellow stitching and a heel-loop — and adds a chunky, empowering platform sole.",,2021-10-01T00:00:00,"Leather, Dr Martens, Shoes, Women",Jadon Smooth Leather Platform Boots - Black,true,,Jadon Smooth Leather Platform Boots - Black,,true,,,
,Brazil Flip Flops - Blue,,,2-2-0,,Havaianas,Brazil-Flip-Flops-P000193522,P000193522,true,"A Havaianas icon, the Brazil flip flop is as Brazilian as soccer and samba. Featuring a flag embellishment and tonal Havaianas logo on a matte strap for style. Comfort comes courtesy of our signature textured foot bed and multi-layer sole.",,2021-10-01T00:00:00,"Havaianas, Flip Flops, Women, Shoes, Brazil",Brazil Flip Flops - Blue,true,,Brazil Flip Flops - Blue,,true,,,
,Womens Yatch Creep Sneakers,,,2-2-0,,Osklen,Womens-Yatch-Creep-Sneakers-P000201191,P000201191,true,"Vulcanized bovine leather sneakers. Slip-on model without shoelaces and with elastic fastening, ensuring comfort and easy wear. Lining and insole in bovine leather.",,2021-10-01T00:00:00,"Sneakers, Osklen, Women, Shoes",Womens Yatch Creep Sneakers,true,,Womens Yatch Creep Sneakers,,true,,,
,Arizona Big Buckle - Bold Jade,,,2-2-0,,Birkenstock,Arizona-Big-Buckle-P000201193,P000201193,true,"The legendary two-strap design from BIRKENSTOCK with an amplified buckle accent - the Arizona Big Buckle. This version features a large, elegant buckle creating a bold yet minimalist design. Shown in nubuck leather.",,2021-10-01T00:00:00,"Sandals, Women, Shoes, Birkenstock",Arizona Big Buckle - Bold Jade,true,,Arizona Big Buckle - Bold Jade,,true,,,
,Colorful Sunflowers Sweater,,,2-1-1,,Farm,Colorful-Sunflowers-Sweater-P000203161,P000203161,true,"Warm yourself up with some bold flowers! The Colorful Sunflowers Sweater is the layer you were looking for: it has one of our must-have prints of the season in a cozy fit, and ball appliques for a cute touch. It goes without saying, but the perfect match for your sweater is the Colorful Sunflowers Pants <3",,2021-10-01T00:00:00,"Levis, Sweater, Women",Colorful Sunflowers Sweater,true,,Colorful Sunflowers Sweater,,true,,,
